timestamp,B1,B2,D1,D2,F1,F2,H1,H2
2022/10/26-16:21:00,1044.453613,1346.275146,1049.709839,898.3606567,984.9104004,899.241272,875.4518433,788.2283325
2022/10/26-16:21:30,1043.267456,1340.751953,1050.515381,894.5200195,982.4269409,898.4085693,873.8931274,792.4606323
2022/10/26-16:22:00,1044.250488,1336.473267,1047.457764,896.2129517,979.4920044,896.2268677,872.7146606,801.4616699
2022/10/26-16:22:30,1046.209229,1333.883423,1044.826538,894.305603,977.9628906,896.0699463,873.0358276,797.9362793
2022/10/26-16:23:00,1046.341553,1336.272705,1044.042114,897.6782837,977.7011719,898.0276489,872.3806152,805.0125732
2022/10/26-16:23:30,1045.71936,1335.200562,1043.006348,901.8131714,976.9227905,901.6068726,871.7202759,810.211792
2022/10/26-16:24:00,1043.159058,1333.94397,1042.442017,901.3226929,976.2444458,904.3655396,869.8608398,816.5640869
2022/10/26-16:24:30,1041.122437,1331.643066,1043.445801,905.0770264,976.3009644,910.1991577,870.4917603,822.6427002
2022/10/26-16:25:00,1039.23938,1327.700684,1044.683472,906.7579346,979.0282593,911.8135986,872.1206665,828.1054077
2022/10/26-16:25:30,1037.615479,1325.256958,1046.094971,908.9308472,982.3501587,910.2915039,871.2496338,833.022583
2022/10/26-16:26:00,1038.845459,1324.949341,1048.906494,914.375061,981.5230103,910.7411499,871.2729492,832.5894775
2022/10/26-16:26:30,1035.546387,1320.124756,1051.35083,931.887085,983.4100952,913.4004517,871.2042236,837.5599976
2022/10/26-16:27:00,1033.324707,1318.226074,1053.348755,950.956543,987.6963501,917.4048462,872.1135864,841.7443237
2022/10/26-16:27:30,1032.000122,1314.59729,1056.465088,938.3493652,989.788208,920.6903687,873.102356,842.3882446
2022/10/26-16:28:00,1028.554443,1313.309692,1058.567627,931.6724854,990.6654053,922.1065674,872.7146606,847.2028198
2022/10/26-16:28:30,1028.77417,1310.976074,1062.124268,935.2686768,991.7189331,918.9712524,873.9312134,846.7619629
2022/10/26-16:29:00,1028.389893,1309.39917,1065.180542,938.3287354,995.0197144,914.7716064,874.0648193,844.2011719
2022/10/26-16:29:30,1027.546143,1308.213501,1071.613647,937.6904297,996.2797852,910.9554443,871.3525391,844.9396973
2022/10/26-16:30:00,1027.281982,1306.857422,1071.14917,936.5144043,998.1557617,912.8170166,876.4400635,841.4996948
2022/10/26-16:30:30,1027.997925,1304.532837,1069.911133,935.7114258,1001.379028,914.324707,879.9831543,837.4525757
2022/10/26-16:31:00,1030.201538,1305.785889,1070.475342,931.5812988,1000.537109,916.6799316,881.5136108,835.9023438
2022/10/26-16:31:30,1035.077026,1306.364258,1071.677368,900.151062,998.4679565,915.8221436,882.8782959,834.8520508
2022/10/26-16:32:00,1038.123047,1307.61853,1073.890015,896.1572266,997.9891357,913.0283813,882.3893433,836.362793
2022/10/26-16:32:30,1039.97937,1309.809692,1073.320801,892.237854,996.0425415,911.1431274,882.6416626,835.9199829
2022/10/26-16:33:00,1040.009155,1309.454468,1071.988281,891.8213501,995.7037354,909.3807983,882.0985107,833.3100586
2022/10/26-16:33:30,1040.292114,1310.37207,1070.592529,889.09198,994.2761841,909.8163452,881.215332,830.6005249
2022/10/26-16:34:00,1039.545898,1308.983032,1067.641602,891.7357788,989.3878784,909.0814819,882.5256348,828.3394165
2022/10/26-16:34:30,1039.563599,1309.568848,1065.169067,902.9568481,986.2610474,906.8668823,881.3624878,824.4351807
2022/10/26-16:35:00,1039.481323,1308.769287,1062.669067,897.6142578,982.3995361,904.9173584,881.1118164,820.0405884
2022/10/26-16:35:30,1039.790771,1320.912842,1061.980957,887.5088501,981.2479248,904.5002441,880.7435913,817.0008545
2022/10/26-16:36:00,1040.567871,1319.483032,1059.858887,890.1801758,981.4657593,900.5100098,878.6923218,819.8603516
2022/10/26-16:36:30,1040.837402,1311.790771,1056.104004,900.0765381,980.5515747,900.2821045,879.6653442,827.7932739
2022/10/26-16:37:00,1042.948853,1311.858154,1055.446899,914.5028687,980.0333862,900.6445313,907.0084839,831.1557617
2022/10/26-16:37:30,1043.511841,1306.95105,1053.987915,915.8527832,981.7157593,902.0024414,890.484375,834.3687134
2022/10/26-16:38:00,1043.166504,1304.580566,1054.195068,913.9783936,981.2099609,903.8303833,958.9860229,865.7678223
2022/10/26-16:38:30,1040.709961,1302.107788,1052.797607,931.130127,981.6283569,903.9202271,934.8188477,857.154541
2022/10/26-16:39:00,1038.510132,1301.464111,1048.990234,932.7957764,980.7738647,904.7149658,994.6547852,855.8234863
2022/10/26-16:39:30,1037.583008,1302.340454,1046.856689,938.3774414,982.7627563,904.4434814,980.7994385,858.2952881
2022/10/26-16:40:00,1036.484985,1302.592529,1046.515381,944.7005615,984.0598145,906.909668,931.8529053,860.8537598
2022/10/26-16:40:30,1034.633057,1301.768799,1046.887085,947.0943604,985.1422729,909.5036621,893.6228027,862.2947388
2022/10/26-16:41:00,1035.289307,1302.491089,1048.465942,939.3909912,987.2503052,911.6026611,889.7123413,859.7562256
2022/10/26-16:41:30,1037.646606,1302.838989,1051.760864,948.3308105,988.1638794,914.6633301,888.0025024,825.2659912
2022/10/26-16:42:00,1037.650269,1302.910889,1054.09314,952.7631836,989.1442261,915.9768066,885.4691162,774.8030396
2022/10/26-16:42:30,1037.858032,1305.117798,1053.52771,952.3937988,991.456543,915.8966675,884.0874634,792.7036743
2022/10/26-16:43:00,1038.475098,1306.253174,1054.140381,947.8894043,990.9970703,912.6391602,889.7040405,800.0838013
2022/10/26-16:43:30,1038.620728,1307.412231,1053.739746,942.7352295,991.1843262,912.5924683,890.0585327,797.4779663
2022/10/26-16:44:00,1038.63855,1307.244385,1055.016479,938.6872559,990.1368408,910.0236816,891.2891846,801.713562
2022/10/26-16:44:30,1039.700073,1306.685303,1056.329956,939.0432129,991.367981,911.9570313,888.3751221,796.6564941
2022/10/26-16:45:00,1041.252563,1306.045044,1057.279297,938.2248535,992.3324585,914.0496826,886.9762573,799.7663574
2022/10/26-16:45:30,1042.770264,1303.727173,1058.118774,938.65625,994.8682861,917.4696655,890.383728,800.1062012
2022/10/26-16:46:00,1046.5271,1304.967651,1059.290039,934.7167969,996.5136719,919.5202026,888.5267334,803.3339844
2022/10/26-16:46:30,1048.493896,1317.518311,1058.468018,912.6217651,994.9743652,919.085144,888.8460693,805.2817993
2022/10/26-16:47:00,1050.034424,1322.167236,1058.778076,904.496582,995.5134888,917.8088989,893.944397,821.3088379
2022/10/26-16:47:30,1052.905151,1325.894409,1059.201294,911.9106445,994.9417114,915.401123,938.1036377,817.4588623
2022/10/26-16:48:00,1054.60144,1324.215454,1058.239868,916.6686401,995.0558472,910.4002686,965.4672241,811.8275146
2022/10/26-16:48:30,1053.519653,1323.078125,1056.417236,912.8349609,995.5067749,908.4251099,960.1797485,813.5731201
2022/10/26-16:49:00,1055.901123,1323.130493,1054.602783,912.2664795,995.3592529,905.713501,895.0636597,811.9280396
2022/10/26-16:49:30,1056.048828,1322.755127,1054.553833,913.6213989,994.5650635,905.9239502,878.5963135,805.6270752
2022/10/26-16:50:00,1054.695801,1320.293457,1055.606567,915.7797852,992.8081665,905.4419556,877.0441895,810.7824707
2022/10/26-16:50:30,1053.64563,1318.107056,1057.157959,916.2631836,990.7672729,901.9089966,878.5558472,842.1755371
2022/10/26-16:51:00,1050.221191,1316.214478,1056.831909,916.4622192,988.4992065,900.9169312,878.0291748,797.9821777
2022/10/26-16:51:30,1050.230591,1314.679443,1057.809326,917.2652588,988.862854,900.3845215,873.3034668,789.9707642
2022/10/26-16:52:00,1051.599609,1312.553833,1057.688354,916.5899658,989.0113525,901.0601196,871.9122925,790.4359741
2022/10/26-16:52:30,1051.22168,1311.829102,1059.909424,916.8534546,988.6461182,900.8258667,870.8511963,794.6238403
2022/10/26-16:53:00,1049.93811,1312.64856,1061.00708,915.9671021,989.2508545,901.4529419,870.1289063,794.6394043
2022/10/26-16:53:30,1052.115845,1312.587036,1061.506104,917.5081787,989.8264771,900.1934814,872.0792236,793.8154297
2022/10/26-16:54:00,1053.603638,1312.783447,1061.479858,924.1039429,990.5493774,899.6826172,869.3677368,797.3840942
2022/10/26-16:54:30,1051.894531,1313.186646,1060.742798,933.3339844,989.6521606,902.1520386,867.6084595,800.0745239
2022/10/26-16:55:00,1051.860596,1312.512451,1061.595581,938.4953613,987.9717407,906.7774048,865.6990356,803.0528564
2022/10/26-16:55:30,1051.067261,1313.965942,1060.836304,947.9783936,988.3225708,908.796814,867.2202148,802.7976685
2022/10/26-16:56:00,1050.5625,1311.999756,1059.553833,956.0823975,990.0048828,911.8961792,869.057251,807.5350952
2022/10/26-16:56:30,1051.806763,1310.266724,1059.883301,956.2290039,991.2018433,912.0146484,872.7179565,813.1950073
2022/10/26-16:57:00,1050.779175,1309.425903,1060.379883,957.7227783,992.2574463,910.470459,875.6463623,822.2952271
2022/10/26-16:57:30,1049.75415,1309.24353,1061.987305,960.00354,994.3728638,913.7682495,876.3636475,829.2615967
2022/10/26-16:58:00,1047.408203,1310.695801,1062.104614,961.0476074,996.8173828,916.2886963,875.5327759,829.4950562
2022/10/26-16:58:30,1045.698608,1311.427612,1062.311768,962.0352783,997.4098511,915.1386719,877.0501709,830.2938843
2022/10/26-16:59:00,1045.613281,1313.239502,1067.080566,963.2415771,999.1348267,913.9588013,873.0374756,830.9412842
2022/10/26-16:59:30,1045.223511,1314.56543,1070.61731,955.5163574,1002.572266,914.8460083,873.7284546,830.2034912
2022/10/26-17:00:00,1045.202637,1314.376465,1073.775269,954.5496826,1002.68158,918.3086548,875.3532104,831.6425781
2022/10/26-17:00:30,1047.438232,1316.525269,1075.090332,934.0159912,1003.770691,929.3214722,877.3200073,830.7628174
2022/10/26-17:01:00,1049.690796,1321.143677,1075.2229,930.9090576,1006.404358,935.5401611,878.1634521,830.0925293
2022/10/26-17:01:30,1054.550049,1324.86499,1075.211182,930.515625,1005.419617,936.8619385,881.2880859,826.6202393
2022/10/26-17:02:00,1059.559448,1327.13623,1073.612671,931.9017334,1004.946716,936.0732422,883.1645508,827.3449097
2022/10/26-17:02:30,1062.725952,1330.610107,1073.082031,929.6716309,1005.727966,934.0543213,885.7947388,829.3939819
2022/10/26-17:03:00,1062.73938,1332.827637,1071.3573,930.9202881,1004.916992,935.5250244,885.1161499,822.9591675
2022/10/26-17:03:30,1063.643066,1334.221802,1071.331299,933.9003906,1003.508057,935.5587158,884.7767334,809.4216919
2022/10/26-17:04:00,1063.341431,1333.439575,1070.826294,947.3626709,1003.156738,931.1360474,883.3219604,812.5621948
2022/10/26-17:04:30,1061.636597,1333.042358,1068.757202,954.3010254,1000.630554,933.0268555,883.7940063,809.7999878
2022/10/26-17:05:00,1062.069336,1331.683594,1069.092651,952.2740479,999.2643433,932.7802734,883.8588257,808.9145508
2022/10/26-17:05:30,1061.600708,1328.850708,1066.707397,944.2158203,998.6965942,935.7137451,882.9434814,807.0161133
2022/10/26-17:06:00,1061.932007,1327.045288,1066.048462,940.8518066,997.6257935,935.989502,883.112915,805.7420654
2022/10/26-17:06:30,1065.236694,1327.519775,1062.896118,933.885498,996.6960449,934.5731201,883.2510986,800.4237671
2022/10/26-17:07:00,1067.182861,1328.290771,1062.025269,935.1636963,995.4591064,933.7451172,883.3446655,791.3719482
2022/10/26-17:07:30,1067.656128,1329.038208,1061.198486,934.8554688,994.5123901,932.8161621,883.4463501,781.5949097
2022/10/26-17:08:00,1068.905396,1328.902954,1065.557861,934.211792,995.4035034,932.0568848,882.2177734,776.7370605
2022/10/26-17:08:30,1068.986206,1331.917969,1071.270264,936.3731689,993.0721436,927.2890015,882.7581177,777.5072632
2022/10/26-17:09:00,1068.771973,1332.723511,1076.237793,945.0804443,994.8584595,926.0751953,885.0087891,773.4793701
2022/10/26-17:09:30,1067.835449,1335.438965,1079.663208,964.1004639,995.9157715,922.0022583,887.2001343,771.7601318
2022/10/26-17:10:00,1069.928345,1341.519043,1082.488525,970.1260986,996.1867676,919.4508057,887.5981445,767.4815063
2022/10/26-17:10:30,1071.418701,1344.864746,1081.71106,974.6655273,998.3551025,919.7988281,886.7756348,763.5836792
2022/10/26-17:11:00,1070.743042,1345.218628,1080.032349,989.9361572,1000.1427,916.5494995,886.1407471,759.3283691
2022/10/26-17:11:30,1071.560303,1346.821899,1081.117676,991.6968994,1001.817566,919.887146,884.7422485,759.7686157
2022/10/26-17:12:00,1070.481567,1346.3302,1080.437378,996.2548828,1001.66626,919.3900146,882.1508179,763.2208252
2022/10/26-17:12:30,1068.333374,1345.033325,1077.951538,1005.468384,1000.963928,916.2903442,881.3466187,764.6976929
2022/10/26-17:13:00,1069.354248,1342.459717,1075.25354,1004.989136,1001.82605,915.6687012,881.999939,766.9547119
2022/10/26-17:13:30,1070.399048,1339.765259,1072.912964,1003.274414,1001.479248,914.756958,882.9165649,766.7490234
2022/10/26-17:14:00,1071.424561,1339.910522,1074.614746,1002.552856,1003.645386,912.8033447,884.3157959,770.0551147
2022/10/26-17:14:30,1073.637939,1339.957397,1075.260864,998.2797852,1003.756836,913.5161743,885.3309326,770.5577393
2022/10/26-17:15:00,1076.331299,1341.514771,1078.543579,993.095459,1004.455933,911.625,884.5177002,770.1849976
2022/10/26-17:15:30,1076.053711,1343.164185,1078.785156,987.0986328,1005.673401,913.2457275,886.7200928,772.2843628
2022/10/26-17:16:00,1077.067627,1347.083008,1081.929321,989.5823975,1007.709412,914.1747437,884.8195801,773.9187012
2022/10/26-17:16:30,1078.782959,1347.436646,1082.252686,989.2056885,1011.426086,915.8660889,886.2655029,773.3763428
2022/10/26-17:17:00,1079.836426,1348.513794,1081.97998,975.7880859,1013.072021,917.6025391,886.9910278,774.6971436
2022/10/26-17:17:30,1080.867554,1348.557617,1079.567139,956.317627,1012.474426,919.7577515,887.5679321,775.0452271
2022/10/26-17:18:00,1082.373535,1348.924072,1079.691772,936.9066162,1010.785522,920.5111084,884.1153564,776.0314331
2022/10/26-17:18:30,1080.984131,1345.736572,1080.540405,928.9696655,1008.660278,921.5914917,881.3777466,776.1027832
2022/10/26-17:19:00,1078.717041,1345.260376,1081.378784,926.7476196,1008.186951,919.2124634,880.9505615,766.6374512
2022/10/26-17:19:30,1076.225098,1342.805908,1079.68811,932.1195068,1007.64325,919.2595215,882.8150024,772.4389038
2022/10/26-17:20:00,1074.068726,1338.035034,1079.494751,931.4997559,1005.922546,917.6780396,883.2180786,769.4811401
2022/10/26-17:20:30,1071.261963,1336.546753,1075.624878,932.0319824,1004.808105,918.1459961,886.1035767,768.6719971
2022/10/26-17:21:00,1067.767944,1332.494385,1074.350586,949.4276123,1003.47467,922.8414917,886.5061646,766.7554932
2022/10/26-17:21:30,1066.774536,1329.406982,1071.733887,943.3786621,1004.531799,926.9850464,887.6838989,765.208374
2022/10/26-17:22:00,1065.807861,1329.047607,1071.894531,946.6976318,1005.228149,931.1169434,886.9281006,764.5635376
